Site Name,Address 1,City,County,ZIP,site_type,Latitude,Longitude,id
Genesis PrimeCare - Texarkana Arkansas Clinic,1205 E 35th St,Texarkana,Miller,71854,Primary Care Site,40.7464842,-73.977844,1
Special Health Resources - All for Kids Clinic,300 E 6th St,Texarkana,Bowie,71854,Primary Care Site,33.4266216,-94.0402601,2
Community Healthcare Center - McKinney Clinic at Virginia Parkway,120 S Central Expressway,McKinney,Collin,75070,Primary Care Site,32.9502284,-96.7358306,3
Collin County Community Health Center,"2520 Avenue K, Suite 100",Plano,Collin,75074,Primary Care Site,41.5146916,-89.8887497,4
Health Services of North Texas - Plano Children's Medical Clinic,1407 14th St,Plano,Collin,75074,Primary Care Site,38.938678,-77.0327217,5
Health Services of North Texas - Collin County Center,2540 K Ave,Plano,Collin,75074,Primary Care Site,33.0324581,-96.697858,6
The West Side Clinic,"4100 W. 15th Street, Suite 112",Plano,Collin,75093,Primary Care Site,33.0167599,-96.7709934,7
Health Services of North Texas - Wylie Children's Medical Clinic,303 S Hwy 78,Wylie,Collin,75098,Primary Care Site,33.0897059,-80.2661354,8
Hope Clinic - Ennis,805 W Lampasas St,Ennis,Ellis,75119,Unknown,32.3193206,-96.6324766,9
Community Health Service Agency - Kaufman Community Health Center,101 N Houston,Kaufman,Kaufman,75142,Primary Care Site,30.0103077,-95.2575815,10
Mission East Dallas - Dental,4550 Gus Thomasson Rd,Mesquite,Dallas,75150,Unknown,32.825842,-96.6470255,11
Hope Clinic - Administrative Offices,201 Ferris Ave,Waxahachie,Ellis,75165,Administrative only,41.042381,-73.7743834,12
Hope Clinic - Billing and Accounting Offices,201 Ferris Ave,Waxahachie,Ellis,75165,Administrative only,41.042381,-73.7743834,13
Ellis County Hope Clinic Coalition for Health Options dba Hope Clinic,411 E Jefferson St,Waxahachie,Ellis,75165,Primary Care Site,33.4466759,-112.066814,14
Foremost Family Health Center - Balch Springs,3515 Shepherd Ln,Balch Spings,Dallas,75180,Primary Care Site,32.7216024,-96.6146805,15
Los Barrios Unidos Community Clinic - Health Center,4732 W Illinois St,Dallas,Dallas,75211,Primary Care Site,41.8908041,-87.6334722,16
Los Barrios Unidos Community Clinic - Pediatric Services,3111 Sylvan Ave,Dallas,Dallas,75212,Primary Care Site,32.7801673,-96.8361477,17
"Los Barrios Unidos Community Clinic - Family, Women's Health, Dental, and WIC",809 Singleton Blvd,Dallas,Dallas,75212,Primary Care Site,32.7789297,-96.8363155,18
Foremost Family Health Center,"2922 Martin Luther King, Jr. Blvd",Dallas,Dallas,75215,Primary Care Site,,,19
Mission East Dallas - Medical,2914 Oates Dr,Dallas,Dallas,75228,Primary Care Site,32.8210609,-96.6647517,20
Healing Hands Ministries Inc. - Vickery,5750 Pineland,Dallas,Dallas,75231,Primary Care Site,32.877968,-96.7580102,21
DALLAS COUNTY HOSPITAL DISTRICT,5201 HARRY HINES BLVD,Dallas,Dallas,75235,Unknown,32.8105277,-96.8376573,22
Los Barrios Unidos Community Clinic - Urban Inter-Tribal Center of Texas WIC Clinic,1283 Record Crossing,Dallas,Dallas,75235,WIC only,32.8160041,-96.8614842,23
Healing Hands Ministries Inc. - Greenville,8515 Greenville Ave,Dallas,Dallas,75243,Primary Care Site,32.8946471,-96.754342,24
Community Health Service Agency - Greenville Community Health Center,4311 Wesley St,Greenville,Hunt,75401,Primary Care Site,33.1264583,-96.1086799,25
Community Health Service Agency - Women's Center of Greenville,4311 B Wesley St,Greenville,Hunt,75401,Primary Care Site,33.1261916,-96.1087627,26
Community Health Service Agency - Administration Office,4500 Wesley St,Greenville,Hunt,75401,Administrative only,33.1248379,-96.1095906,27
Community Health Service Agency - Dental,3600 Caddo St,Greenville,Hunt,75401,Primary Care Site,32.8022837,-96.7894567,28
Community Health Service Agency - Pediatric Center of Greenville,3005 A Joe Ramsey Blvd,Greenville,Hunt,75402,Primary Care Site,33.119877,-96.111112,29
Community Health Service Agency - Patient Support Center,2824 Terrell St,Greenville,Hunt,75402,Administrative only,,,30
Community Health Service Agency - Bonham Community Health Center,920 N Center St,Bonham,Fannin,75418,Primary Care Site,33.4320135,-111.8317308,31
Community Health Service Agency - Cooper Community Health Center,91 W Side Sq,Cooper,Delta,75432,Primary Care Site,33.3744159,-95.6890657,32
Community Health Service Agency - Farmersville Family Medical Center,111 N Johnson St,Farmersville,Collin,75442,Primary Care Site,29.7132825,-95.2068982,33
Special Health Resources - Paris Care Clinic,3150 Clarksville St,Paris,Lamar,75460,Primary Care Site,33.647611,-95.517608,34
Special Health Resources - Texarkana Care Clinic,1102 Main St,Texarkana,Bowie,75501,Primary Care Site,,,35
Genesis PrimeCare - Texarkana OB/GYN,2602 St. Michael Dr,Texarkana,Bowie,75503,Primary Care Site,33.4629092,-94.0753748,36
Genesis PrimeCare - Texarkana Medical Clinic,1400 College Dr,Texarkana,Bowie,75503,Primary Care Site,30.4356435,-91.1332823,37
Genesis PrimeCare - Ellington Memorial Clinic,1011 S William St,Atlanta,Cass,75551,Unknown,41.4965189,-74.0178735,38
